LoanNr_ChkDgt;Name;City;State;Zip;Bank;BankState;NAICS;ApprovalDate;ApprovalFY;Term;NoEmp;NewExist;CreateJob;RetainedJob;FranchiseCode;UrbanRural;RevLineCr;LowDoc;ChgOffDate;DisbursementDate;DisbursementGross;BalanceGross;MIS_Status;ChgOffPrinGr;GrAppv;SBA_Appv;
1000014003;ABC HOBBYCRAFT;EVANSVILLE;IN;47711;FIFTH THIRD BANK;OH;451120;28-feb-97;1997;84;4;2;0;0;1;0;N;Y;;28-feb-99;$60,000.00 ;$0.00 ;P I F;$0.00 ;$60,000.00 ;$48,000.00 ;
1000024006;LANDMARK BAR & GRILLE (THE);NEW PARIS;IN;46526;1ST SOURCE BANK;IN;722410;28-feb-97;1997;60;2;2;0;0;1;0;N;Y;;31-May-97;$40,000.00 ;$0.00 ;P I F;$0.00 ;$40,000.00 ;$32,000.00 ;
1000034009;WHITLOCK DDS, TODD M.;BLOOMINGTON;IN;47401;GRANT COUNTY STATE BANK;IN;621210;28-feb-97;1997;180;7;1;0;0;1;0;N;N;;31-dec-97;$287,000.00 ;$0.00 ;P I F;$0.00 ;$287,000.00 ;$215,250.00 ;
1000044001;BIG BUCKS PAWN & JEWELRY, LLC;BROKEN ARROW;OK;74012;1ST NATL BK & TR CO OF BROKEN;OK;0;28-feb-97;1997;60;2;1;0;0;1;0;N;Y;;30-jun-97;$35,000.00 ;$0.00 ;P I F;$0.00 ;$35,000.00 ;$28,000.00 ;
1000054004;ANASTASIA CONFECTIONS, INC.;ORLANDO;FL;32801;FLORIDA BUS. DEVEL CORP;FL;0;28-feb-97;1997;240;14;1;7;7;1;0;N;N;;14-May-97;$229,000.00 ;$0.00 ;P I F;$0.00 ;$229,000.00 ;$229,000.00 ;
1000084002;B&T SCREW MACHINE COMPANY, INC;PLAINVILLE;CT;6062;TD BANK, NATIONAL ASSOCIATION;DE;332721;28-feb-97;1997;120;19;1;0;0;1;0;N;N;;30-jun-97;$517,000.00 ;$0.00 ;P I F;$0.00 ;$517,000.00 ;$387,750.00 ;
1000093009;MIDDLE ATLANTIC SPORTS CO INC;UNION;NJ;7083;WELLS FARGO BANK NATL ASSOC;SD;0;02-jun-80;1980;45;45;2;0;0;0;0;N;N;24-jun-91;22-jul-80;$600,000.00 ;$0.00 ;CHGOFF;$208,959.00 ;$600,000.00 ;$499,998.00 ;
1000094005;WEAVER PRODUCTS;SUMMERFIELD;FL;34491;REGIONS BANK;AL;811118;28-feb-97;1997;84;1;2;0;0;1;0;N;Y;;30-jun-98;$45,000.00 ;$0.00 ;P I F;$0.00 ;$45,000.00 ;$36,000.00 ;
1000104006;TURTLE BEACH INN;PORT SAINT JOE;FL;32456;CENTENNIAL BANK;FL;721310;28-feb-97;1997;297;2;2;0;0;1;0;N;N;;31-jul-97;$305,000.00 ;$0.00 ;P I F;$0.00 ;$305,000.00 ;$228,750.00 ;
1000124001;INTEXT BUILDING SYS LLC;GLASTONBURY;CT;6073;WEBSTER BANK NATL ASSOC;CT;0;28-feb-97;1997;84;3;2;0;0;1;0;N;Y;;30-apr-97;$70,000.00 ;$0.00 ;P I F;$0.00 ;$70,000.00 ;$56,000.00 ;
1000134004;COMMERCIAL TRUCKING MAINTENANC;CHARLOTTE;NC;28256;SUNTRUST BANK;GA;811111;28-feb-97;1997;84;1;2;0;0;1;0;N;Y;;23-feb-98;$70,000.00 ;$0.00 ;P I F;$0.00 ;$70,000.00 ;$56,000.00 ;
1000144007;PROFESSIONAL ELEVATOR SERVICES;CHICAGO;IL;60605;BANK OF AMERICA NATL ASSOC;OR;235950;28-feb-97;1997;60;24;1;0;0;1;0;N;N;;30-nov-97;$150,000.00 ;$0.00 ;P I F;$0.00 ;$300,000.00 ;$225,000.00 ;
1000146010;CARVEL;APEX;NC;27502;STEARNS BK NATL ASSOC;MN;445299;07-feb-06;2006;162;2;2;0;0;15100;1;N;N;;31-mar-06;$253,400.00 ;$0.00 ;P I F;$0.00 ;$253,400.00 ;$190,050.00 ;
1000154010;ORCHARD CAFE & BAKERY, INC.;SLATERSVILLE;RI;2876;CITIZENS BANK NATL ASSOC;RI;0;28-feb-97;1997;120;2;2;0;0;1;0;N;N;;31-May-97;$370,000.00 ;$0.00 ;P I F;$0.00 ;$370,000.00 ;$277,500.00 ;
1000214004;EBC INVESTMENTS LLC;WINSTON-SALEM;NC;27106;NORTHWEST PIEDMONT DEVEL CORPO;NC;0;28-feb-97;1997;240;1;1;30;0;1;0;N;N;;17-dec-97;$225,000.00 ;$0.00 ;P I F;$0.00 ;$225,000.00 ;$225,000.00 ;
